Metric,Value
Our Score,7635
Total Iterations,10000
Cleared Quicker Count,1664
Cleared Quicker Value,3536505
Default Cleared Quicker Count,2365
Default Cleared Quicker Value,14218560
Cleared and Default Failed Count,5971
Cleared and Default Failed Value,25522830
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
