Metric,Value
Our Score,7611
Total Iterations,10000
Cleared Quicker Count,1583
Cleared Quicker Value,2709980
Default Cleared Quicker Count,2389
Default Cleared Quicker Value,13566490
Cleared and Default Failed Count,6028
Cleared and Default Failed Value,24721280
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
