Metric,Value
Our Score,7558
Total Iterations,10000
Cleared Quicker Count,1612
Cleared Quicker Value,2711280
Default Cleared Quicker Count,2442
Default Cleared Quicker Value,14099850
Cleared and Default Failed Count,5946
Cleared and Default Failed Value,26280015
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
