Metric,Value
Our Score,7626
Total Iterations,10000
Cleared Quicker Count,1656
Cleared Quicker Value,4347410
Default Cleared Quicker Count,2374
Default Cleared Quicker Value,13404760
Cleared and Default Failed Count,5970
Cleared and Default Failed Value,24131200
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
