Metric,Value
Our Score,7592
Total Iterations,10000
Cleared Quicker Count,1586
Cleared Quicker Value,2737910
Default Cleared Quicker Count,2408
Default Cleared Quicker Value,13645720
Cleared and Default Failed Count,6006
Cleared and Default Failed Value,24130880
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
