Metric,Value
Our Score,7636
Total Iterations,10000
Cleared Quicker Count,1606
Cleared Quicker Value,2741205
Default Cleared Quicker Count,2364
Default Cleared Quicker Value,13399010
Cleared and Default Failed Count,6030
Cleared and Default Failed Value,23981420
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
