Metric,Value
Our Score,7616
Total Iterations,10000
Cleared Quicker Count,1565
Cleared Quicker Value,2671500
Default Cleared Quicker Count,2384
Default Cleared Quicker Value,15115485
Cleared and Default Failed Count,6051
Cleared and Default Failed Value,26582595
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
