Metric,Value
Our Score,7771
Total Iterations,10000
Cleared Quicker Count,1645
Cleared Quicker Value,4306445
Default Cleared Quicker Count,2229
Default Cleared Quicker Value,11634855
Cleared and Default Failed Count,6126
Cleared and Default Failed Value,24132480
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
