Metric,Value
Our Score,7691
Total Iterations,10000
Cleared Quicker Count,1646
Cleared Quicker Value,3283355
Default Cleared Quicker Count,2309
Default Cleared Quicker Value,7828160
Cleared and Default Failed Count,6045
Cleared and Default Failed Value,16411785
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
