Metric,Value
Our Score,7748
Total Iterations,10000
Cleared Quicker Count,1622
Cleared Quicker Value,4131870
Default Cleared Quicker Count,2252
Default Cleared Quicker Value,13198245
Cleared and Default Failed Count,6126
Cleared and Default Failed Value,25738065
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
