Metric,Value
Our Score,7655
Total Iterations,10000
Cleared Quicker Count,1654
Cleared Quicker Value,2903280
Default Cleared Quicker Count,2345
Default Cleared Quicker Value,14938935
Cleared and Default Failed Count,6001
Cleared and Default Failed Value,25444905
Failed and Default Cleared Count,0
Failed and Default Cleared Value,0
Congested Quicker Count,0
Congested Quicker Value,0
Default Congested Quicker Count,0
Default Congested Quicker Value,0
